date,brand,campaign_name,channel,impressions,clicks,ctr,spend_usd,conversions,conversion_rate,revenue_usd,roas,cpa_usd,cpc_usd,cpm_usd
2026-01-05,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),285810,5308,0.018573,15385.99,155,0.029254,15708.91,1.021,99.26,2.9,53.83
2026-01-05,TechNova,TechNova — YouTube Video Q1,YouTube Video,114688,1048,0.009141,7406.07,15,0.014618,1434.15,0.1936,493.74,7.07,64.58
2026-01-05,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,139347,489,0.003515,5608.03,4,0.008881,228.07,0.0407,1402.01,11.47,40.25
2026-01-05,TechNova,TechNova — TikTok Q1,TikTok,213140,4122,0.019342,6587.5,70,0.017175,6027.94,0.9151,94.11,1.6,30.91
2026-01-06,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,42119,1791,0.042528,12854.72,104,0.058201,13613.37,1.059,123.6,7.18,305.2
2026-01-06,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),268677,5235,0.019486,15580.24,173,0.033099,15170.66,0.9737,90.06,2.98,57.99
2026-01-06,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,154331,1363,0.008835,6774.24,23,0.017401,1795.64,0.2651,294.53,4.97,43.89
2026-01-06,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,403873,1555,0.003852,4808.03,17,0.011419,1375.89,0.2862,282.83,3.09,11.9
2026-01-06,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,232830,5575,0.023946,7340.24,89,0.016035,7836.89,1.0677,82.47,1.32,31.53
2026-01-06,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,42664,1836,0.043049,12877.4,135,0.07353,15655.98,1.2158,95.39,7.01,301.83
2026-01-06,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),276580,4417,0.01597,10970.37,126,0.028693,14283.6,1.302,87.07,2.48,39.66
2026-01-06,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,120289,1011,0.00841,7297.6,15,0.014934,1113.11,0.1525,486.51,7.22,60.67
2026-01-06,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,356595,1551,0.004351,4065.43,17,0.010997,1342.78,0.3303,239.14,2.62,11.4
2026-01-06,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,160217,3091,0.019294,5640.18,57,0.018473,4221.93,0.7485,98.95,1.82,35.2
2026-01-06,TechNova,TechNova — Google Search Q1,Google Search,21024,846,0.040278,16744.67,49,0.05869,6568.05,0.3922,341.73,19.79,796.46
2026-01-06,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),48857,778,0.015931,15531.98,25,0.032166,1991.25,0.1282,621.28,19.96,317.91
2026-01-06,TechNova,TechNova — YouTube Video Q1,YouTube Video,145806,1031,0.007074,8224.19,13,0.013279,1256.4,0.1528,632.63,7.98,56.41
2026-01-06,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,219224,969,0.004425,4811.41,11,0.011469,930.02,0.1933,437.4,4.97,21.95
2026-01-06,TechNova,TechNova — TikTok Q1,TikTok,126761,2467,0.019467,8070.1,48,0.019716,3725.5,0.4616,168.13,3.27,63.66
2026-01-07,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,46403,1869,0.040287,14659.0,122,0.065731,11937.3,0.8143,120.16,7.84,315.91
2026-01-07,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),36247,585,0.016157,14858.97,15,0.026916,1530.41,0.103,990.6,25.4,409.94
2026-01-07,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,122469,1130,0.009232,8053.6,16,0.014632,1186.06,0.1473,503.35,7.13,65.76
2026-01-07,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,152648,704,0.004617,5552.9,6,0.008652,505.67,0.0911,925.48,7.89,36.38
2026-01-07,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,273154,6141,0.022482,6472.11,128,0.020941,8070.75,1.247,50.56,1.05,23.69
2026-01-07,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,49274,2262,0.045923,13064.87,154,0.068434,20195.65,1.5458,84.84,5.78,265.15
2026-01-07,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),198355,3710,0.018704,12681.8,126,0.034064,9925.65,0.7827,100.65,3.42,63.93
2026-01-07,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,193147,1749,0.009057,6006.14,26,0.015,2209.34,0.3678,231.01,3.43,31.1
2026-01-07,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,136470,547,0.00401,3999.49,5,0.009689,366.59,0.0917,799.9,7.31,29.31
2026-01-07,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,296778,7582,0.025549,5614.2,146,0.019327,11257.87,2.0052,38.45,0.74,18.92
2026-01-07,TechNova,TechNova — Google Search Q1,Google Search,42181,2030,0.048134,14142.87,120,0.059209,16993.01,1.2015,117.86,6.97,335.29
2026-01-07,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),289799,5644,0.019478,16451.42,177,0.031439,16484.41,1.002,92.95,2.91,56.77
2026-01-07,TechNova,TechNova — YouTube Video Q1,YouTube Video,176905,1238,0.007002,8473.64,16,0.013042,1233.15,0.1455,529.6,6.84,47.9
2026-01-07,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,500938,1817,0.003629,5465.83,18,0.010421,1216.15,0.2225,303.66,3.01,10.91
2026-01-07,TechNova,TechNova — TikTok Q1,TikTok,259242,6366,0.02456,8557.31,115,0.018071,8443.46,0.9867,74.41,1.34,33.01
2026-01-08,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,7655,388,0.050709,13980.33,28,0.07222,4095.04,0.2929,499.3,36.03,1826.3
2026-01-08,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),178281,3522,0.019759,17234.87,121,0.034538,13308.79,0.7722,142.44,4.89,96.67
2026-01-08,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,97107,701,0.007222,6931.53,12,0.017311,1016.51,0.1467,577.63,9.89,71.38
2026-01-08,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,357806,1505,0.004207,4592.96,14,0.009725,841.55,0.1832,328.07,3.05,12.84
2026-01-08,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,168292,4067,0.024172,7886.04,74,0.018394,6431.44,0.8155,106.57,1.94,46.86
2026-01-08,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,30717,1562,0.050873,13057.35,100,0.064111,10404.4,0.7968,130.57,8.36,425.09
2026-01-08,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),235079,4453,0.018943,11039.59,143,0.032338,12214.41,1.1064,77.2,2.48,46.96
2026-01-08,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,12964,100,0.007762,5727.29,1,0.015647,77.76,0.0136,5727.29,57.27,441.78
2026-01-08,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,464058,1799,0.003878,4205.32,18,0.0102,1425.03,0.3389,233.63,2.34,9.06
2026-01-08,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,197238,4886,0.024775,6229.05,101,0.020749,6607.97,1.0608,61.67,1.27,31.58
2026-01-08,TechNova,TechNova — Google Search Q1,Google Search,27572,1168,0.042393,16919.64,76,0.065213,11042.17,0.6526,222.63,14.49,613.65
2026-01-08,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),113813,2164,0.019015,14966.78,60,0.028096,4807.42,0.3212,249.45,6.92,131.5
2026-01-08,TechNova,TechNova — YouTube Video Q1,YouTube Video,34868,253,0.007277,6664.98,3,0.013585,257.51,0.0386,2221.66,26.34,191.15
2026-01-08,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,208783,949,0.004547,4522.82,9,0.010078,682.8,0.151,502.54,4.77,21.66
2026-01-08,TechNova,TechNova — TikTok Q1,TikTok,75002,1445,0.019268,6762.72,23,0.016467,1596.96,0.2361,294.03,4.68,90.17
2026-01-09,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,9153,371,0.040596,13546.55,24,0.06539,2587.39,0.191,564.44,36.51,1480.01
2026-01-09,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),163850,3173,0.01937,14389.21,83,0.026319,8988.07,0.6246,173.36,4.53,87.82
2026-01-09,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,25993,235,0.009057,7787.78,4,0.017198,268.56,0.0345,1946.94,33.14,299.61
2026-01-09,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,420211,1838,0.004375,4665.32,16,0.009216,1007.58,0.216,291.58,2.54,11.1
2026-01-09,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,158464,3674,0.02319,7208.56,64,0.017603,4813.07,0.6677,112.63,1.96,45.49
2026-01-09,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,6770,287,0.042407,13811.67,20,0.070404,2829.37,0.2049,690.58,48.12,2040.13
2026-01-09,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),172029,2780,0.016164,12902.18,83,0.030058,8131.48,0.6302,155.45,4.64,75.0
2026-01-09,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,62255,488,0.007844,5931.91,6,0.013071,453.85,0.0765,988.65,12.16,95.28
2026-01-09,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,200922,724,0.003607,3914.72,8,0.011372,591.41,0.1511,489.34,5.41,19.48
2026-01-09,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,245299,5491,0.022385,6773.98,88,0.016053,6818.37,1.0066,76.98,1.23,27.62
2026-01-09,TechNova,TechNova — Google Search Q1,Google Search,39237,1760,0.04487,15390.79,103,0.058776,11493.97,0.7468,149.43,8.74,392.25
2026-01-09,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),204467,3826,0.018713,14383.87,111,0.029221,12823.59,0.8915,129.58,3.76,70.35
2026-01-09,TechNova,TechNova — YouTube Video Q1,YouTube Video,56063,402,0.007171,7737.99,5,0.013679,365.81,0.0473,1547.6,19.25,138.02
2026-01-09,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,136363,519,0.003809,4491.02,4,0.009182,330.27,0.0735,1122.76,8.65,32.93
2026-01-09,TechNova,TechNova — TikTok Q1,TikTok,169862,3701,0.021793,6555.53,77,0.020975,4966.52,0.7576,85.14,1.77,38.59
2026-01-10,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,35411,1780,0.050277,13515.3,109,0.061498,11587.8,0.8574,123.99,7.59,381.67
2026-01-10,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),225793,4217,0.018677,12446.15,131,0.031264,11579.28,0.9304,95.01,2.95,55.12
2026-01-10,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,36692,283,0.00773,6402.29,4,0.014961,327.47,0.0511,1600.57,22.62,174.49
2026-01-10,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,81926,345,0.004216,3643.77,3,0.009555,221.21,0.0607,1214.59,10.56,44.48
2026-01-10,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,124666,2825,0.022664,5309.19,44,0.015895,3146.7,0.5927,120.66,1.88,42.59
2026-01-10,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,6326,333,0.052658,9040.7,20,0.06278,2752.04,0.3044,452.04,27.15,1429.13
2026-01-10,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),169870,3363,0.019798,9406.94,105,0.031485,10061.04,1.0695,89.59,2.8,55.38
2026-01-10,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,61467,566,0.009214,4942.91,9,0.016821,871.2,0.1763,549.21,8.73,80.42
2026-01-10,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,305294,1409,0.004618,3003.29,13,0.009227,767.42,0.2555,231.02,2.13,9.84
2026-01-10,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,145723,3606,0.024747,5444.46,59,0.016379,5047.69,0.9271,92.28,1.51,37.36
2026-01-10,TechNova,TechNova — Google Search Q1,Google Search,9962,411,0.041286,10786.36,29,0.072573,3784.99,0.3509,371.94,26.24,1082.75
2026-01-10,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),97071,1984,0.020442,11928.76,58,0.029619,6333.34,0.5309,205.67,6.01,122.89
2026-01-10,TechNova,TechNova — YouTube Video Q1,YouTube Video,65765,530,0.00807,5815.23,7,0.014391,627.91,0.108,830.75,10.97,88.42
2026-01-10,TechNova,TechNova — Programmatic Display Q1,Programmatic Display,124486,568,0.00457,3952.15,5,0.009847,363.3,0.0919,790.43,6.96,31.75
2026-01-10,TechNova,TechNova — TikTok Q1,TikTok,156951,3117,0.019865,6645.7,64,0.020787,5147.24,0.7745,103.84,2.13,42.34
2026-01-11,Apex Athletics,Apex Athletics — Google Search Q1,Google Search,32629,1555,0.047669,10480.54,104,0.067128,14770.95,1.4094,100.77,6.74,321.2
2026-01-11,Apex Athletics,Apex Athletics — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),50043,868,0.017365,12769.87,24,0.02836,2558.71,0.2004,532.08,14.71,255.18
2026-01-11,Apex Athletics,Apex Athletics — YouTube Video Q1,YouTube Video,94752,836,0.008824,5053.87,14,0.017071,1072.83,0.2123,360.99,6.05,53.34
2026-01-11,Apex Athletics,Apex Athletics — Programmatic Display Q1,Programmatic Display,79936,360,0.004515,4295.01,3,0.009082,205.9,0.0479,1431.67,11.93,53.73
2026-01-11,Apex Athletics,Apex Athletics — TikTok Q1,TikTok,49649,1026,0.020667,6400.27,20,0.019632,1668.7,0.2607,320.01,6.24,128.91
2026-01-11,Luminara Beauty,Luminara Beauty — Google Search Q1,Google Search,29021,1352,0.046601,10500.0,83,0.061512,9555.26,0.91,126.51,7.77,361.81
2026-01-11,Luminara Beauty,Luminara Beauty — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),219793,4146,0.018865,9111.23,123,0.029762,11766.01,1.2914,74.08,2.2,41.45
2026-01-11,Luminara Beauty,Luminara Beauty — YouTube Video Q1,YouTube Video,31352,263,0.008391,5712.58,4,0.015364,341.78,0.0598,1428.14,21.72,182.21
2026-01-11,Luminara Beauty,Luminara Beauty — Programmatic Display Q1,Programmatic Display,354450,1637,0.00462,2872.39,17,0.010425,1312.45,0.4569,168.96,1.75,8.1
2026-01-11,Luminara Beauty,Luminara Beauty — TikTok Q1,TikTok,174660,3519,0.02015,5675.13,66,0.018826,5277.28,0.9299,85.99,1.61,32.49
2026-01-11,TechNova,TechNova — Google Search Q1,Google Search,30553,1588,0.052007,11484.87,119,0.074946,14313.78,1.2463,96.51,7.23,375.9
2026-01-11,TechNova,TechNova — Meta (Facebook/Instagram) Q1,Meta (Facebook/Instagram),236928,4803,0.020276,10388.75,130,0.02722,14753.21,1.4201,79.91,2.16,43.85
2026-01-11,TechNova,TechNova — YouTube Video Q1,YouTube Video,86982,730,0.008404,6528.25,10,0.014872,672.3,0.103,652.83,8.94,75.05
